Posición,Título,Artista,Año,lyrics
73,Es la vida que me alcanza,Celeste Carballo,1982,"1 ContributorEs La Vida Que Me Alcanza Lyrics[Letra de ""Es La Vida Que Me Alcanza""]

Cuando me levanto temprano a la mañana
Me sebo unos mates y riego las plantas
Salgo a la terraza hay un sol que camina
Todo sigue adentro procesión que lastima
Es la vida que me alcanza
Es la vida que me alcanza
Si estoy en mi casa y dejo de fumar
Es porque mañana tengo que ir a cantar
Y si alguna tarde me voy sola al cine
Es por que no tengo alguien que me mime
Es la vida que me alcanza
Es la vida que me alcanza
No era fácil como a mi me parecía
Dejar todo y seguir sola en la vida
Dejar a un costado todo lo que pasamos
Llegar a olvidar cuanto nos amamos
Es la vida que me alcanza
Es la vida que me alcanza...
Miro para tras y me parece un cuento
Nunca imaginé llegar a este momento
Canto mis canciones me gano la vida
Me compré una casa que es mi guarida
Sufro como loca si me acuerdo del campo
Cuando iba a la escuela con mi amigo a caballo
Yo tenia un petiso que era viejo y mañero
Le contaba cosas que hoy ya ni recuerdo
Es la vida que me alcanza
Es la vida que me alcanza"
74,Mujer amante,Rata Blanca,1990,"11 ContributorsMujer Amante Lyrics[Letra de ""Mujer Amante""]

[Verso 1]
Siento el calor de toda tu piel
En mi cuerpo otra vez
Estrella fugaz, enciende mi sed
Misteriosa mujer
Con tu amor sensual, cuanto me das
Haz que mi sueño sea una verdad
Dame tu alma hoy, haz el ritual
Llévame al mundo donde pueda soñar

[Coro]
¡Uhh!, debo saber si en verdad
En algún lado estás
Voy a buscar una señal, una canción
¡Uhh!, debo saber si en verdad
En algún lado estas
Solo el amor que tú me das, me ayudará

[Verso 2]
Al amanecer tu imagen se va
Misteriosa mujer
Dejaste en mi lujuria total
Hermosa y sensual
Corazón sin Dios, dame un lugar
En ese mundo tibio, casi irreal
Deberé buscar una señal
En aquel camino por el que vas


[Coro]
¡Uhh!, debo saber si en verdad
En algún lado estás
Voy a buscar una señal, una canción
¡Uhh!, debo saber si en verdad
En algún lado estás
Solo el amor que tú me das, me ayudará

[Puente]
Tu presencia marcó en mi vida el amor, lo sé
Es difícil pensar en vivir ya sin vos
Corazón sin Dios, dame un lugar
En ese mundo tibio, casi irreal

[Coro]
¡Uhh!, debo saber si en verdad
En algún lado estás
Voy a buscar una señal, una canción
¡Uhh!, debo saber si en verdad
En algún lado estás
Solo el amor que tú me das, me ayudará

[Solo]

[Puente]
Tu presencia marcó en mi vida el amor, lo sé
Es difícil pensar en vivir ya sin vos
Corazón sin Dios, dame un lugar
En ese mundo tibio, casi irreal


[Coro]
¡Uhh!, debo saber si en verdad
En algún lado estás
Voy a buscar una señal, una canción
¡Uhh!, debo saber si en verdad
En algún lado estás
Solo el amor que tú me das, me ayudará

[Outro]
Uh-oh uh-oh
No no no
No no, no no oh"
75,Malón,Babasónicos,1994,"2 ContributorsMalón Lyrics[Letra de ""Malón""]

[Coro]
Malón, malón, malón, malón diabólico
Malón, malón, malón, malón diabólico
Malón, malón, malón, malón diabólico

[Verso 1]
Trepa los montes, nada los ríos
Grita en la noche, entra al desierto
Se desintegra al sol, calma su sed con vos
Guarda la tierra que lo alimenta

[Coro]
Malón, malón, malón, malón diabólico
Malón, malón, malón, malón diabólico
Malón, malón, malón, malón diabólico

[Puente]
Son una tribu sin Fé sanguinarios
No dudaran de sacarte del paso
Te pisaran como un buey enojado
Sera mejor que corras ya, sal de su pasto

[Coro]
Malón, malón, malón, malón diabólico
Malón, malón, malón, malón diabólico
Malón, malón, malón, malón...


[Verso 3]
Les gusta el mosh (Mosh!)
Le gusta revolcarse entre la gente que arme
Me gusta el mosh (Mosh!)
Me gusta revolcarse entre la gente que arme

Sin push now, sin push now, sin push
Sin push now, sin push now, sin push

[Coro]
Malón, malón, malón, malón diabólico
Malón, malón, malón, malón diabólico
Malón, malón, malón, malón...

[Outro]
Malón, malón, malón, malón diabólico
Malón, malón, malón, malón diabólico
Malón, malón, malón, malón diabólico
Malón, malón, malón, malón diabólico

Malón diabólico! (Malón, malón, malón, malón diabólico)
Malón diabólico! (Malón, malón, malón, malón diabólico)
Malón diabólico! (Malón, malón, malón, malón diabólico)
Malón diabólico! (Malón, malón, malón, malón diabólico)"
76,Loco (Tu forma de ser),Los Auténticos Decadentes,1989,"9 ContributorsLoco (Tu Forma De Ser) Lyrics[Letra de ""Loco (Tu Forma De Ser)""]

[Verso 1]
Te vi llegar del brazo de un amigo
Cuando entraste al bar y te caíste al piso
Me tiraste el pingüino, me tiraste el sifón
Estallaron los vidrios de mi corazón
Te vi bailar, brillando con tu ausencia
Sin sentir piedad, chocando con las mesas
Te burlaste de todos, te reíste de mí
Tus amigos escaparon de vos

[Coro]
Y a mí me volvió loco tu forma de ser
A mí me vuelve loco tu forma de ser
Tu egoísmo y tu soledad
Son estrellas en la noche de la mediocridad
Me vuelve loco tu forma de ser
A mí me volvió loco tu forma de ser
Tu egoísmo y tu soledad
Son joyas en el barro de la mediocridad

[Puente Instrumental]

[Verso 2]
Viniste a mí, tomaste de mi copa
Me sonreíste así, nadando en tu demencia
No sabía qué hacer, te traté de besar
Me pegaste un sopapo y te pusiste a llorar


[Coro]
Me vuelve loco tu forma de ser
A mí me volvió loco tu forma de ser
Tu egoísmo y tu soledad
Son estrellas en la noche de la mediocridad
Me vuelve loco tu forma de ser
A mí me volvió loco tu forma de ser
Tu egoísmo y tu soledad
Son joyas en el barro de la mediocridad

[Puente Instrumental]

[Coro]
Y a mí me volvió loco tu forma de ser
Me vuelve loco tu forma de ser
Tu egoísmo y tu soledad
Son estrellas en la noche de la mediocridad
Me vuelve loco tu forma de ser
A mí me volvió loco tu forma de ser
Tu egoísmo y tu soledad
Son joyas en el barro de la mediocridad"
77,El nuevo camino del hombre,A.N.I.M.A.L.,1996,"3 ContributorsEl Nuevo Camino Del Hombre LyricsLlora el cielo indignado
Limpia este suelo magro
Sudor y sangre corre
Sobre el camino del hombre
Ansiedad motora
Sentimiento comn
Disparando furia
Para que nadie estorbe
Cargar lo peor sintiendo
La ley del mundo
Ganarte un lugar se vuelve
Un trabajo duro
Jugando cartas llenas de
Esfuerzo encaras tu juego
Yendo tranquilo vemos
Mejor el terreno
Orientacin es todo lo que
Necesitaremos para andar!!!
Cuidadoso y bien atento
Pionero de tu propio tiempo
Atravesando como el trueno
La nube gris del silencioso valor
(Orgulloso valor)
Mas de lo que nos gusta
Se transforma en vicio
Empaando el vidrio de la realidad
Tomando una parte
Para hacerla tuya
Descubriendo un mundo
Para engendrar tu placer
Para andar!!!
Cuidadoso y bien atento..."
78,La calle es su lugar,G.I.T.,1984,"9 ContributorsLa Calle Es Su Lugar Lyrics[Letra de ""La Calle Es Su Lugar""]

[Verso 1]
Ella es amiga de un pordiosero
Y toma anfetas cuando está mal
Si su cuna fue un triste agujero
¿Cuál es la culpa que debe pagar?

[Verso 2]
Nadie le dijo qué venía primero
Y a qué teléfono contestar
Gente sucia encontró en su ruta
Y a hierro y fuego aprendió a jugar

[Coro]
La calle es su lugar
Ella sabe bien
No va a volver atrás
Ni por uno, ni por veinte, ni por cien

[Verso 3]
No, no me hablen del camino del diablo
O de la búsqueda del placer
Ella lucha por su dinero
Vende su tiempo sin mirar a quién


[Coro]
La calle es su lugar
Ella sabe bien
No va a volver atrás
Ni por uno, ni por veinte, ni por cien

[Post-Coro]
Ana, Ana, Ana
Puede ser feliz igual
Ana, Ana, Ana
Puede ser feliz igual

[Solo de guitarra]

[Coro]
La calle es su lugar
Ella sabe bien
No va a volver atrás
Ni por uno, ni por veinte, ni por cien

[Post-Coro]
Ana, Ana, Ana
Puede ser feliz igual
Ana, Ana, Ana
Puede ser feliz igual
Ana, Ana, Ana
Puede ser feliz igual
Ana, Ana, Ana
Puede ser feliz igual
Ana, Ana, Ana
Puede ser feliz igual
Ana, Ana, Ana
Puede ser feliz igual"
79,Maribel se durmió,Spinetta Jade,1983,"2 ContributorsMaribel se durmió Lyrics[Letra de ""Maribel se Durmió""]

Maribel se durmió
Vamos a contarle
Porque se hundió
Carroussell, sencación
De que con el alma
Nos ve mejor
Maribel, Maribel
Dicen que no lleva ningún papel
Vamos ya, vamos ya
Vamos porque viene y porque no está

Canta
Canta toda la vida
Canta con emoción
Y al partir sentirás
Una brisa inmensa de libertad...

Canta
Canta aunque estás distante
Canta conmigo
Canta tus penas de hoy

Maribel se durmió
Vamos a cantarle porque se hundió
Carroussell, sensación
De que con el alma
Nos ve mejor"
80,La bifurcada,Memphis la Blusera,1986,"1 ContributorLa Bifurcada Lyrics[Letra de ""La Bifurcada""]

[Verso 1]
Si te vas
No, no, no, no me voy a matar
Sabés mejor
Llevate si querés el televisor
Mientras hacés la valija
Escuchá esta canción

[Verso 2]
Si te vas
No, no, no, no voy a llorar
Sabés mejor
Yo desconocía tu inclinación
Si te llevás la cama, chuchi
Dejame el colchón

[Coro]
Te vas con tu amiga
Feminista perdida
Tus modernos inventos
Que son puro cuento

[Instrumental]


[Verso 3]
Si te vas
No, no, no, no te voy a extrañar
Sabés mejor
No queda otra que la separación

[Puente]
Te decidiste
Te definiste
Sos feminista
Y yo machista
Andá por la sombra y cerrá bien el portón

[Instrumental]

[Coro]
Te vas con tu amiga
Feminista perdida
Tus modernos inventos
Que son puro cuento

[Outro]
Te vas con tu amiga (Bye, bye)
Feminista perdida (Bye, bye)
Tus modernos inventos (Bye, bye)
Que son puro cuento (Bye, bye)"
81,Chipi chipi,Charly García,1994,"9 ContributorsChipi-Chipi Lyrics[Letra de “Chipi-Chipi”]

[Verso 1]
Yo nunca fui a New York, no sé lo que es París
Vivo bajo la tierra, vivo dentro de mí
Yo no tengo un espejo, no tengo un souvenir
La lágrima me habla y está dentro de mí

[Coro]
Yo solo tengo esta pobre antena
Que me trasmite lo que decís
Está canción, mi ilusión, mis penas
Y este souvenir

[Verso 2]
Yo subo la escalera, yo cumplo una misión
La lágrima me dice que yo tampoco soy
La hija de un amor, la hija del dolor
La hija que no espera, tu tiempo se acabó

[Coro]
Si este dolor durará por siempre
No digas nada, vete de aquí
Porque yo voy donde nunca estoy
Donde nunca fui


[Puente]
Tómalo con calma
La cosa es así
Ya se hace de noche
Me tengo que ir

[Solo]

[Pre-Coro]
Chipi-chipi-chipi
Chipi-chipi-bom-bom
Bom-bom
Chipi-chipi-bom-bom
Bom-bom
Bom-bom
Chipi-chipi-bom-bom

[Coro]
Ya no te pienso esperar por siempre
Porque el Mercurio lo tengo aquí
No me digas más palabras, nene
Ya me voy de aquí

[Puente]
Y no te olvides nunca que—


[Solo]

[Coro]
Esta canción durará por siempre
Por eso mismo yo la hice así
Una canción, sin amor, sin dolor
La canción sin fin"
82,El bar de la calle Rodney,La Portuaria,1991,"1 ContributorEl Bar De La Calle Rodney LyricsSalgo a caminar sin rumbo, en un día cualquiera
Pero un día cualquiera puede ser mucho más
Hacia la parte de atrás del cementerio
Cruzando el parque, llego a un bar;

Hay sólo hombres que beben vino y fuman tabaco
Pero en el aire hay algo especial
Es pleno invierno, pero una ola de calor invade
Como sucede a veces, en toda mi ciudad
Ciudad de brujas y de asfalto
Un puerto sin salida al mar!
Si navegar es tan preciso
Hoy voy a sentarme en el bar
A viajar...
Perdiendo el tiempo, perdiendo el tiempo
Yo voy a viajar

Un hombre se me acerca y me declara
Que el era actor en un teatro principal!
Y se decide a mostrarme sus virtudes
Interpretando un personaje singular

Ciudad de brujas y de asfalto
Un puerto sin salida al mar!
Si navegar es tan preciso
Hoy voy a sentarme en el bar
A viajar...
Perdiendo el tiempo, perdiendo el tiempo
Yo quiero viajar


Adoro descansar, entre la gente
Charlar o dibujar
Sentado en cualquier bar
(En cualquier lugar)

Ciudad de brujas y de asfalto
Un puerto sin salida al mar!
Si navegar es tan preciso
Hoy voy a sentarme en el bar
A viajar!"
83,Puerto Pollensa,Sandra Mihanovich,1982,"1 ContributorPuerto Pollensa Lyrics[Letra de ""Puerto Pollensa""]

Me nació este amor
Sin que me diera cuenta yo
Tal vez el miedo no dejó que apareciera
Y me creció este amor
Alimentándose en el sol
De los amaneceres de Puerto Pollensa

Y no me animé a decirte nada
Pánico porque me rechazaras
Como una semilla que no puede ver la luz
Hundió sus raíces mucho más profundo aún

Y te miraba y te esperaba

Y tu mirada se clavó en mis ojos
Y mi sonrisa se instaló en mi cara
Y se esfumó la habitación, la gente
Y el miedo se escapó por la ventana

Y amándonos en una carretera
Nos sorprendió la luz del nuevo día
Como a dos jóvenes adolescentes
Tu mano húmeda sobre la mía


Te nació este amor

Y nuestro cuerpos festejaron juntos
Ese deseado y esperado encuentro
Y un sol muy rojo te guiñaba un ojo
Mientras se disfrazaba de aguacero

Y sin dormir nos fuimos a la playa
Y nos besamos descaradamente
Alucinando al gordito de gafas
Que fue corriendo a cambiarse los lentes

Larararara...."
84,Hola qué tal,Las Pelotas,1995,"2 ContributorsHola Que Tal LyricsHola que tal?, como estás?
De nuevo aquí, para encontrarnos
No escucho bien lo que decís
Pero reís para afirmarlo
Te queda bien lo que llevás
Te maquillás como con barro
Hoy me gustás, más que ayer
Y mañana serás pasado

Hola que tal?, como estás?
Todos los gestos van ajustados
Mirate a vos, mirame a mí
Si parecemos como estancados
No te pasás más de ahí
No te pasás de lo marcado
Buscás error en los demás
Y vos ya sos un mejorado

Hola que tal?. . 
Hola que tal?. . 
Hola que tal?. . "
85,Todo a pulmón,Alejandro Lerner,1983,"4 ContributorsTodo A Pulmon LyricsQue dificil se me hace
Mantenerme en este viaje
Sin saber adonde voy en realidad
Si es de ida o de vuelta
Si el furgón es la primera
Si volver es una forma de llegar
Que dificil se me hace
Cargar todo este equipaje
Se hace dura la subida al caminar
Esta realidad tirana
Que se rie a carcajadas
Porque espera que me canse de buscar
Cada nota, cada idea
Cada paso en mi carrera
Y la estrofa de mi ultima canción
Si cada fecha postergada
La salida y la llegada
Y el oxigeno de mi respiración
Y todo a pulmón
Todo a pulmón
Que dificil se me hace
Mantenerme con coraje
Lejos de la transa y la prostitución
Defender mi ideologia
Buena o mala pero mia
Tan humana como la contradicción
Que dificil se me hace
Seguir pagando el peaje
De esta ruta de locura y ambición
Un amigo en la carrera
Una luz y una escalera
Y la fuerza de hacer todo a pulmón"
86,Kanishka,Los Brujos,1992,"1 ContributorKanishka LyricsCinco dinastías rechasaste
Que malo que sos! Kanishka
Sos el rey mas importante
Tu mirada penetrante
Y tu aliento a caballo podrido, Kanishka
Pero un buen día
El loco Kanishka se casó con una chica
La doncella hindú
Los dientes torcidos
Vizca y narigona
La gente del palacio la llamaba Manu
La doncella hindú
La pobre Manu siempre lo besaba
Y el loco Kanishka no hacía nada
Todo el palacio viendo la reacción
Le cantaba a su rey esta canción
Kanishka"
87,Tan solo,Los Piojos,1993,"2 ContributorsTan Solo Lyrics[Letra de ""Tan Solo""]

[Verso 1]
Quizá no sea el vino
Quizá no sea el postre
Quizá no sea, no sea nada
Pero hay tanta belleza
Tirada en la mesa
Desnuda toda rebalsada

[Verso 2]
Apurás el vaso
Vas perdiendo el paso
Y en la mesa ya no hay nada
Borracha está la puerta
Cerraste y quedó abierta
Y puedo escuchar tu llamada

[Coro]
Oh, oh, tan solo
Oh, oh, tan solo

[Verso 3]
Servida ya tu boca
Tan dulce está tu boca
Tan dulce con un blues amargo
Un vaso rueda al piso
Lento cae al piso
Lento y muere en mil pedazos


[Verso 4]
No quiero dejar que se vean
Tus ojos se vean
Tan, tan, tan, tan tristes
Habrá sido el destino
O ese vaso de vino
Que dijiste:

[Coro]
Oh, oh, tan solo
Oh, oh, tan solo

[Puente]
Salta la cuerda, se enreda
Y cae de boca
Salta la cuerda, se enreda
Y cae de boca
Salta la cuerda, se enreda
Y cae de boca
Salta la cuerda, se enreda
Y cae de boca

[Instrumental]

[Coro]
Oh, oh, tan solo
Oh, oh, tan solo"
88,Escafandra,Peligrosos Gorriones,1993,"1 ContributorEscafandra LyricsEh, ¡ah!

Escafandra y me visto profundo en el mar sin presión
Sobrevivo, pues llevo mi traje, soy un buceador
Y si encuentro el tesoro, me iré a otro planeta a pasear
La manguera me da todo el aire y puedo respirar, -ar, -ar

Cofre y adentro desarmo las tramas, ya no había nada
Corre un pulpito sobre mi escafandra, señal de que asustaba
Cofre y adentro desarmo las tramas, ya no había nada
Corre un pulpito sobre mi escafandra, señal de que asustaba

Escafandra y me visto profundo en el mar sin presión
Sobrevivo, pues llevo mi traje, soy un buceador, ¡rra!
Y si encuentro el tesoro, me iré a otro planeta a pasear
La manguera me da todo el aire y puedo respirar, -ar, -ar

Cofre y adentro desarmo las tramas, ya no había nada
Corre un pulpito sobre mi escafandra, señal de que asustaba
Cofre y adentro desarmo las tramas, ya no había nada
Corre un pulpito sobre mi escafandra, señal de que asustaba

Al borde, la zona en que algún día un barco se hundió
Me llevan las olas, por suerte soy gran nadador

Cofre y adentro desarmo las tramas, ya no había nada
Corre un pulpito sobre mi escafandra, señal de que asustaba
Cofre y adentro desarmo las tramas, ya no había nada
Corre un pulpito sobre mi escafandra, señal"
89,Ya no sos igual,Dos Minutos,1994,"7 ContributorsYa No Sos Igual Lyrics[Letra de ""Ya No Sos Igual""]

[Verso 1]
Carlos se vendió al barrio de Lanús, el barrio que lo vio crecer
Ya no vino nunca más por el bar de Fabián
Y se olvidó de pelearse los domingos en la cancha
Por la noche patrulla la ciudad, molestando y levantando a los demás

[Coro]
Ya no sos igual, ya no sos igual
Sos un vigilante de la Federal
Sos buchón, sos buchón
Sos buchón, sos buchón

[Verso 2]
Carlos se dejó crecer el bigote y tiene una nueve para él
Ya no vino nunca más por el bar de Fabián
Y se olvidó de pelearse los domingos en la cancha
Él sabe muy bien que una bala en la noche en la calle espera por él

[Coro]
Ya no sos igual, ya no sos igual
Sos un vigilante de la federal
Sos buchón, sos buchón
Sos buchón, sos buchón


[Puente]
Vos sos buchón de la Policía Federal
Vos sos buchón de la Policía Federal

[Coro]
Ya no sos igual, ya no sos igual
Sos un vigilante de la Federal
Sos buchón, sos buchón
Sos buchón, sos buchón"
90,Todo cambia,Man Ray,1994,"2 ContributorsTodo Cambia LyricsDando vueltas
Esperando sin saber
Pasa el tiempo
Como un rayo de T.V
¿Dónde voy?

Y si te digo: ""¡Todo está mal!""
Seguro que mañana puede cambiar, oh

De repente
Todo vuelve a suceder
Voy corriendo
Para verte otra vez
¿Vos quién sos?

No nos mintamos
No llores más
Soy como un río
Que no puede parar

Todo cambia
Y todos cambian
Todo cambia

Dando vueltas
Como un plato volador (Dando vueltas)
Pasa el tiempo
Yo lo veo en mi reloj
Allá voy


No quiero cuentos
Quiero verdad
Seguro que el amor
No se va a escapar

Todo cambia
Y todos cambian
Todo cambia"
91,Playas oscuras,Los Visitantes,1993,"1 ContributorPlayas Oscuras LyricsRoberto ""Palo"" Pandolfo
Ella : Juega con medallas
Velas y libros sin tapa
El : Pendiente de las luces
Sin Dios, cambia por el cielo
Tiempo, tiempo sin una palabra
Viajes, soledad y depresion
Y al fin -suerte- su destino
Ella sola y otra ropa
Y en el silencio del cuarto
Otro color en la silla
El hundio su nariz
En la espuma de las olas
Los rebotes del sol
Coronaron su final
Lejos, en una sala marron
Sin espejos y sin brujula
Playas oscuras
Por las luces cambia el cielo
Y el hundio su cabeza
En la espuma de las olas
Los rebotes del sol
Coronaron su final
Coronaron su final"
92,Susy Cadillac,Riff,1982,
93,Ella vendrá,Don Cornelio y la Zona,1987,"1 ContributorElla Vendrá Lyrics[Letra de ""Ella Vendrá""]

[Coro]
Ella vendrá, ah-ah
Na-ra, na-ra, na, ah-ah
Na-ra, na-ra, na

[Verso 1]
Y las heridas que marcan mi cara
Se secarán en su boca de agua

[Coro]
Siento que ella vendrá, ah-ah
Na-ra, na-ra, na, ah-ah
Na-ra, na-ra, na

[Verso 2]
Y al fin el techo dejará de aplastarme
Dejará de verme

[Refrán]
Solitario, besando mi almohada
Solitario, quemando mi cama
Solitario, esperándote

[Coro]
Siento que ella vendrá, ah-ah
Na-ra, na-ra, na, ah-ah
Na-ra, na-ra, na


[Verso 3]
Y sus labios de rouge dirán ""algas""
""Algas y viento del mar""

[Coro]
Siento que ella vendrá, ah-ah
Na-ra, na-ra, na, ah-ah
Na-ra, na-ra, na

[Ruptura]
Siento que, siento que, siento que ella vendrá
Siento que, siento que, ella vendrá

[Verso 2]
Al fin el techo dejará de aplastarme
Dejará de verme

[Refrán]
Solitario, besando mi almohada
Solitario, quemando mi cama
Solitario, esperándote

[Outro]
Ah-ah-ah
Na-ra, na-ra, na, ah-ah (Ella vendrá)
Na-ra, na-ra, na (Ella vendrá)
Uh-uh-uh-uh
Ah-ah-ah
Na-ra, na-ra, na, ah-ah
Na-ra, na-ra, na (Siento que ella vendrá)
Siento que, siento que, siento que ella vendrá
Ah-ah-ah
Na-ra, na-ra, na, ah-ah (Ella vendrá)
Uh-uh-uh-uh
Na-ra, na-ra, na (Ella vendrá)
Na-ra, na-ra, na, ah-ah (Siento que, siento que)
Na-ra, na-ra, na, ah-ah (Ella vendrá)
Na-ra, na-ra, na
Ah-ah-ah (Siento que, siento que)
Na-ra, na-ra, na, ah-ah (Ella vendrá)
Na-ra, na-ra, na (Uh-uh-uh-uh)
Ah-ah-ah (Siento que, siento que)
Na-ra, na-ra, na, ah-ah (Ella vendrá)
Na-ra, na-ra, na..."
94,Masticar,Fun People,1996,"1 ContributorMasticar LyricsLet me chew
I chew cheese in sabado
Sabado, I don't care my silhouette
And I take care of my body all the week
In sabado, I don't care my silhouette

Hey hey hey
Don't gonna be a Twiggy gonna be as I am
Hey hey hey
Don't gonna be a Twiggy gonna be as I am
Yeah

Let me chew
I chew cheese in sabado
In sabado, I don't care my silhouette
And I take care of my body all the week
In sabado, I don't care my silhouette

Hey hey hey
Don't gonna be a Twiggy gonna be as I am
Hey hey hey
Don't gonna be a Twiggy gonna be as I am
As I am

Let me chew
I chew cheese in sabado
In sabado, I don't care my silhouette
And I take care of my body all the week
In sabado, I don't care my silhouette


Sabado, oh oh
Sabado, oh oh
Sabado, oh oh
Sabado, oh oh
Sabado!"
95,Amanece en la ruta,Suéter,1984,"3 ContributorsAmanece En La Ruta Lyrics[Letra de ""Amanece En La Ruta""]

[Verso 1]
Amanece en la ruta, no me importa dónde estoy
Me he dormido viajando y he soñado tan intenso
Y en ese sueño yo me veía en este auto, pero no
No era el mismo porque estaba todo roto en su interior

[Verso 2]
Este paisaje es tan extraño, se parece al de un tren eléctrico
Esos árboles tienen contornos, darme cuenta es tan hermoso
Y en ese sueño yo me veía en este auto, pero no
No era el mismo porque tenía fuego en su interior, en su interior

[Verso 3]
A medida que aceleramos, mis recuerdos me estremecen
Y en un soplo veo proyectado como un film toda mi vida
Y ya no se si el cielo está arriba, abajo o dentro de mi
Y aunque el paisaje sea tan extraño creo haber estado aquí

[Coro]
¿Dónde voy?
¿Dónde estoy?
¿Quién soy yo, qué hora es, dónde estaré?

[Post-Coro]
Si afuera no es noche, tampoco es de día
No hay tristezas, tan solo alegrías en mi corazón


[Verso 4]
Y ahora todo es una luz tan clara que a mi lado ya no hay nada
Solo alegría, paz y armonía y esa luz que es tan tibia
Y bien comprendo eso no era un sueño, en ese auto estaba yo
Y ese auto estaba todo roto y con fuego en su interior

[Coro]
¿Dónde voy?
¿Dónde estoy?
¿Quién soy yo, qué hora es, dónde estaré?

¿Dónde voy? (Paz, armonía)
¿Dónde estoy? (Amor, alegría)
¿Quién soy yo, qué hora es, dónde estaré?

¿Dónde voy? (Paz, armonía)
¿Dónde estoy? (Amor, alegría)
¿Quién soy yo, qué hora es, dónde estaré?

¿Dónde voy? (Paz, armonía)
¿Dónde estoy? (Amor, alegría)
¿Quién soy yo, qué hora es, dónde estaré?"
96,Héroes anónimos,Metrópoli,1986,"1 ContributorHéroes Anónimos LyricsEstamos atrapados en la misma red
Viajando por un laberinto
Estamos sosteniendo una pared
Por favor no la dejes caer

Seferino no me escucha más
A dónde fue la madre María?
Aunque no creo en la casualidad
Sueño con loterías

Todos somos héroes anónimos
Guerreros en este lugar
Peleando con el corazón
Combatiendo tanta soledad

Me bombardean otra vez
Vuelvo a construir mi casa
Con una fuerza del más allá
Que encuentro en tu mirada

Todos somos héroes anónimos
Guerreros en este lugar
Peleando con el corazón
Combatiendo tanta soledad

Héroes anónimos


Héroes anónimos
Combatiendo tanta soledad

Héroes anónimos
Guerreros en este lugar
Peleando con el corazón
Combatiendo tanta soledad

Héroes anónimos
Héroes anónimos
Combatiendo tanta soledad

Héroes anónimos
Héroes anónimos
Combatiendo tanta soledad

Héroes anónimos"
97,Gente que no,Todos Tus Muertos,1988,"1 ContributorGente Que No Lyrics[Letra de ""Gente Que No""]

[Verso 1]
Hay gente mentirosa
Gente policía
Gente de mierda

[Coro]
Gente que no, gente que no
Gente que no-o-o-o-o-o

[Verso 2]
Hay gente que te dice que tenés que trabajar
Gente que te dice que tenés que estudiar
Gente que te dice ""Tenés un problema existencial""

[Coro]
Gente que no, gente que no
Gente que no-o-o-o-o-o

[Verso 3]
Tus viejos te molestan, te quieren ver triunfar
Te quieren bien arriba en la escala social
Te llenan bien las bolas, te quieren mandar
Y vos sólo querés mandarlos a cagar


[Coro]
Gente que te escucha, gente que no
Gente que te banca, gente que no
Gente que te invita a su casa a dormir
Gente que te deja en la calle morir

[Verso 4]
Y vos, sí, vos
No mires al costado, no te hagas el pescado
No te creas que le hablo al de al lado
Porque te hablo a vos, ¿quién sos?

[Coro]
¿Qué carajo estás haciendo de tu vida?
¿Qué carajo vas a hacer con vos?

[Puente]
¿Querés ser policía? ¿Querés ser policía?
¿Querés ser policía? ¿Querés ser policía?
¿Querés ser policía? ¿Querés ser policía?
Yo no

[Solo]"
98,Lollipop,Viuda e Hijas de Roque Enroll,1985,"1 ContributorLollipop (My Boy Lollipop) Lyrics[Letra de ""Lollipop""]

Lollipop, Lollipop
Paum paparaparap
Lollipop, Lollipop
Paum paparaparap
Lollipop, Lollipop

Lollipop, mi caramelito
Dulce muchachito
Tienes preso a mi corazón
Lindo Lollipop, estamos solitos
Sería bonito
Nos conozcamos mejor

I love you, I love you, I love you tanto
No te hagas rogar
I need, I need you, I need you también
Yo sé que te conquistaré

Oh, Lollipop, mi mamarrachito
Tirame un besito
Cuando pase por tu portón
Bello, Lollipop, papirri adorado
Yo sé que a tu lado
Siempre viviré esta pasión


I love you, I love you, I love you tanto
No te hagas rogar
I need, I need you, I need you también
Yo sé que te conquistaré

Oh, Lollipop, mi bien, mi tesoro
Te ruego, te imploro
Que te bajes el pantalón

Lollipop, Lollipop
Paum paparaparap
Lollipop, Lollipop
Paum paparaparap
Lollipop, Lollipop
Paum paparaparap
Ah, uh, uh

I love you, I love you, I love you tanto
No te hagas rogar
I need, I need you, I need you también
Yo sé que te conquistaré

Oh, Lollipop
Paum paparaparap
Lollipop, Lollipop
Paum paparaparap
Lollipop, Lollipop
Paum paparaparap
Lollipop, Lollipop
Paum paparaparap
Lollipop, Lollipop
Paum paparaparap"
99,Me gustas mucho,Viejas Locas,1999,"5 ContributorsMe Gustas Mucho Lyrics[Letra de ""Me Gustas Mucho""]

[Verso 1]
Nos conocimos bailando en un bar
Tus piernas volaban, las sabías llevar
A mí me gustaba como las movías
Y juntos nos fuimos a pernoctar

[Coro]
Es que me gustas mucho
Me gustas mucho
Me gustas mucho
Me gustas mucho

[Verso 2]
Me gusta como te vestís y como andas
Me gusta tu pelo, tu cuerpo
Me gustaría poderte bañar
También secarte
Y volverte a enjuagar

[Coro]
Porque me gustas mucho
Me gustas mucho, nena
Me gustas mucho
Me gustas mucho, nena
Y será que me gustas tanto
Debe ser que no puedo disimular
De veras, jah


[Instrumental]

[Outro]
¡Me gustas mucho!
¡Me gustas mucho, nena!
Será que me gustas tanto, pero tanto
¡Me gustas mucho, nena!
Y porque me gustas tanto
Debe ser que nunca te voy a olvidar"
